# d,G,gamma
3.850879720747991814e+04,0.000000000000000000e+00,1.610000000000000044e-06
3.351306135353658465e+04,0.000000000000000000e+00,1.850000000000000075e-06
2.910758849955055121e+04,0.000000000000000000e+00,2.129999999999999935e-06
2.530578102205823598e+04,0.000000000000000000e+00,2.449999999999999836e-06
2.198551897306477622e+04,0.000000000000000000e+00,2.820000000000000105e-06
1.913554429137119587e+04,0.000000000000000000e+00,3.239999999999999896e-06
1.662175965255835763e+04,0.000000000000000000e+00,3.729999999999999863e-06
1.448578586543053461e+04,0.000000000000000000e+00,4.279999999999999679e-06
1.257589523408573405e+04,0.000000000000000000e+00,4.930000000000000232e-06
1.095391581343510188e+04,0.000000000000000000e+00,5.660000000000000019e-06
9.523681029806863080e+03,0.000000000000000000e+00,6.510000000000000351e-06
8.277591923103160298e+03,0.000000000000000000e+00,7.490000000000000286e-06
7.200831998146651131e+03,0.000000000000000000e+00,8.610000000000000574e-06
6.262541768085117837e+03,0.000000000000000000e+00,9.900000000000000081e-06
5.438523114389708098e+03,0.000000000000000000e+00,1.139999999999999927e-05
4.732760572827684882e+03,0.000000000000000000e+00,1.309999999999999994e-05
4.133277566936178118e+03,0.000000000000000000e+00,1.500000000000000038e-05
3.583766676534258295e+03,0.000000000000000000e+00,1.730000000000000038e-05
3.115535854474506323e+03,0.000000000000000000e+00,1.989999999999999921e-05
2.707387052578282237e+03,0.000000000000000000e+00,2.290000000000000098e-05
2.357382642739265066e+03,0.000000000000000000e+00,2.629999999999999892e-05
2.052952433908697913e+03,0.000000000000000000e+00,3.019999999999999885e-05
1.786719409338405512e+03,0.000000000000000000e+00,3.470000000000000319e-05
1.549979087601066567e+03,0.000000000000000000e+00,4.000000000000000327e-05
1.350744302920319797e+03,0.000000000000000000e+00,4.589999999999999761e-05
1.174226581515959651e+03,2.717544441870221091e-03,5.280000000000000269e-05
1.021403023130851238e+03,1.284258905593507749e-02,6.069999999999999821e-05
8.882401648143647890e+02,3.093241830147210741e-02,6.980000000000000256e-05
7.720941905858364862e+02,5.579106215913288980e-02,8.030000000000000028e-05
6.717135807588589387e+02,8.365528512300958452e-02,9.229999999999999381e-05
5.848977689060629928e+02,1.100167185337783265e-01,1.060000000000000016e-04
5.081898647872350807e+02,1.299912963438382418e-01,1.219999999999999974e-04
4.428511678860191410e+02,1.391750102794979682e-01,1.399999999999999877e-04
3.850879720747991541e+02,1.353762922424750770e-01,1.610000000000000103e-04
3.351306135353657965e+02,1.179272357647215969e-01,1.849999999999999973e-04
2.910758849955054757e+02,9.012562903222440247e-02,2.130000000000000003e-04
2.530578102205823257e+02,5.714774717235535095e-02,2.449999999999999921e-04
2.198551897306477940e+02,2.688323533893122522e-02,2.820000000000000241e-04
1.913554429137119541e+02,7.140337584975444025e-03,3.240000000000000150e-04
1.662175965255835592e+02,0.000000000000000000e+00,3.730000000000000134e-04
1.448578586543053177e+02,0.000000000000000000e+00,4.279999999999999950e-04
1.257589523408573626e+02,0.000000000000000000e+00,4.929999999999999487e-04
1.095391581343510268e+02,0.000000000000000000e+00,5.659999999999999884e-04
9.523681029806861886e+01,0.000000000000000000e+00,6.509999999999999945e-04
8.277591923103160809e+01,0.000000000000000000e+00,7.489999999999999913e-04
7.200831998146652779e+01,0.000000000000000000e+00,8.610000000000000032e-04
6.262541768085119287e+01,0.000000000000000000e+00,9.899999999999999946e-04
5.438523114389708724e+01,0.000000000000000000e+00,1.139999999999999954e-03
4.732760572827685763e+01,0.000000000000000000e+00,1.309999999999999967e-03
4.133277566936178005e+01,0.000000000000000000e+00,1.500000000000000031e-03
3.583766676534258266e+01,0.000000000000000000e+00,1.729999999999999984e-03
3.115535854474505939e+01,0.000000000000000000e+00,1.990000000000000015e-03
