# tau,g1,g1^2
1.399999999999999911e+00,9.992999999999999661e-01,9.986004899999999518e-01
1.600000000000000089e+00,9.989000000000000101e-01,9.978012099999999940e-01
2.000000000000000000e+00,9.982999999999999652e-01,9.966028899999999080e-01
2.399999999999999911e+00,9.978000000000000203e-01,9.956048400000000465e-01
5.000000000000000000e+00,9.952999999999999625e-01,9.906220899999998997e-01
1.000000000000000000e+01,9.926000000000000378e-01,9.852547600000001182e-01
1.500000000000000000e+01,9.906000000000000361e-01,9.812883600000000817e-01
2.000000000000000000e+01,9.887000000000000233e-01,9.775276900000000602e-01
2.500000000000000000e+01,9.868000000000000105e-01,9.737742400000000131e-01
3.000000000000000000e+01,9.848999999999999977e-01,9.700280099999999406e-01
3.500000000000000000e+01,9.829999999999999849e-01,9.662889999999999535e-01
4.000000000000000000e+01,9.810999999999999721e-01,9.625572099999999409e-01
4.500000000000000000e+01,9.791999999999999593e-01,9.588326399999999028e-01
5.000000000000000000e+01,9.772999999999999465e-01,9.551152899999999502e-01
5.500000000000000000e+01,9.755000000000000338e-01,9.516002500000000364e-01
6.000000000000000000e+01,9.736000000000000210e-01,9.478969600000000106e-01
6.500000000000000000e+01,9.717000000000000082e-01,9.442008900000000704e-01
7.000000000000000000e+01,9.698999999999999844e-01,9.407060099999999814e-01
7.500000000000000000e+01,9.679999999999999716e-01,9.370239999999999680e-01
8.000000000000000000e+01,9.661999999999999478e-01,9.335424399999998624e-01
8.500000000000000000e+01,9.643000000000000460e-01,9.298744900000001090e-01
9.000000000000000000e+01,9.625000000000000222e-01,9.264062500000000977e-01
9.500000000000000000e+01,9.606999999999999984e-01,9.229444900000000063e-01
1.000000000000000000e+02,9.587999999999999856e-01,9.192974400000000212e-01
1.050000000000000000e+02,9.569999999999999618e-01,9.158489999999999132e-01
1.100000000000000000e+02,9.552000000000000490e-01,9.124070400000000580e-01
1.150000000000000000e+02,9.534000000000000252e-01,9.089715600000000117e-01
1.200000000000000000e+02,9.516000000000000014e-01,9.055425599999999964e-01
1.250000000000000000e+02,9.497999999999999776e-01,9.021200400000000119e-01
1.350000000000000000e+02,9.462000000000000410e-01,8.952944400000000247e-01
1.400000000000000000e+02,9.444000000000000172e-01,8.918913600000000219e-01
1.500000000000000000e+02,9.407999999999999696e-01,8.851046399999999981e-01
